"id","feature","company","cohort","launch","partial_window","userbase","pricing_model","usage_evidence","user_sentiment","company_conviction","competitive_response","strategic_signal","adoption_score","verdict","insight_note"
17,"Slack AI","Slack (Salesforce)","Traditional SaaS","2024-02","No","Both","Bundled",7.0,6.5,9.0,6.5,8.5,7.5,"Solid survivor","Killed the clean paid add on; bundled AI to drive tier upgrades; now central to Agentforce delivery."
18,"Asana AI Studio","Asana","Traditional SaaS","2024","No","Enterprise","Usage based",6.0,5.5,8.0,5.5,7.0,6.2,"Calibration anchor (holds)","AI Studio ARR doubling each quarter but tiny in absolute terms; a real bet, still early and small."
19,"Linear Agents","Linear","Traditional SaaS","2025","Yes","Both","Per seat",6.0,7.0,8.0,6.0,7.5,6.9,"Disciplined but early","Ship less ship better; full agent in beta March 2026; loved brand, thin public metrics."
20,"Figma AI (Make Designs / First Draft)","Figma","Traditional SaaS","2024-06","No","Both","Bundled",5.5,5.0,8.0,5.5,7.0,5.5,"Recovered (was 2.0 anchor)","Paused in 2024 then relaunched as First Draft and folded into the Figma agent. Pending your call."
21,"Canva Magic Studio","Canva","Traditional SaaS","2023-10","No","Both","Freemium",9.5,7.5,9.5,8.5,9.0,8.9,"Strong survivor","AI tools used 10B+ times; one feature hit 9M uses in a month. Non designers adopted and stayed."
22,"HubSpot Breeze","HubSpot","Traditional SaaS","2024-09","No","Both","Value aligned (outcome)",7.5,7.0,9.0,7.0,8.5,7.8,"Solid survivor","Quantified customer outcomes; moved to pay per result pricing. Breeze Intelligence brand retired."
23,"Salesforce Agentforce","Salesforce","Traditional SaaS","2024-09","No","Enterprise","Value aligned (outcome)",9.5,7.5,10.0,9.5,10.0,9.3,"Strong survivor","SEC verified: Agentforce ARR went from 500M+ to roughly 2.9B; 9,500+ paid deals. Best evidence in the set."
24,"Zoom AI Companion","Zoom","Traditional SaaS","2023-09","No","Both","Bundled",8.5,7.5,9.0,7.5,8.5,8.3,"Strong survivor","Free bundling drove real adoption (AI users up 40 percent in a quarter); monetized weakly, so a retention win."
25,"Intercom Fin AI Agent","Intercom","Traditional SaaS","2023-03","No","Both","Value aligned (outcome)",9.5,7.5,9.5,9.5,9.5,9.0,"Calibration anchor (holds)","Fin passed 100M ARR; revenue retention jumped from 112 to 146 percent on outcome pricing."
26,"Atlassian Rovo","Atlassian","Traditional SaaS","2024-04","No","Enterprise","Bundled",8.5,7.5,9.0,7.5,8.5,8.3,"Strong survivor","5M monthly users (audited); search usage up 100x; a free tier drives adoption."
27,"Airtable AI","Airtable","Traditional SaaS","2024-03","No","Both","Usage based",7.0,6.5,9.0,6.5,8.5,7.5,"Solid survivor","Bet the turnaround on AI (Omni, Superagent); Cobuilder its fastest adopted feature; stats mostly vendor."
28,"Miro AI (Intelligent Canvas)","Miro","Traditional SaaS","2024","No","Both","Usage based",5.5,6.0,8.0,5.5,7.5,6.5,"Improving but thin","Weakest evidence SaaS entry; investing more now but verifiable adoption is still scarce."
29,"Grammarly Generative AI Suite","Grammarly (Superhuman)","Traditional SaaS","2023-04","No","Both","Freemium",7.5,7.0,9.5,6.5,9.0,8.0,"Strong survivor","The writing AI became the bridge to a full company reinvention (rebrand to Superhuman, two acquisitions)."
30,"Dropbox Dash","Dropbox","Traditional SaaS","2023","No","Both","Per seat",5.5,6.0,9.5,5.5,9.0,7.1,"Show me bet","Bet the company narrative on Dash but it is explicitly pre monetization; core revenue is flat."
